EmployeeID,Age,Attrition,BusinessTravel,DistanceFromHome,Education,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MeanTimeAtWorkByYear
13,55,0,2,14,4,0,1,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.301409509722221
14,47,1,0,1,1,1,1,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9.399931441944446
15,28,0,2,1,3,1,1,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.089687643888889
16,37,0,2,1,3,1,2,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.7051746363888896
17,21,0,2,3,2,1,1,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.619040626388889
18,37,0,0,1,3,1,2,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11.014328138888889
19,35,0,2,7,4,1,1,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.960253831388889
20,38,0,2,8,3,0,1,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9.293555795833333
21,26,0,1,1,4,1,2,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7.590778256666667
22,50,0,2,8,4,1,1,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.008613495277777
23,53,0,2,11,4,0,2,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8.402108476944445
24,42,0,2,4,4,1,1,89260,1.0,14,0,11.0,4,20,11,6,2.0,3.0,3.0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.80700528
25,29,0,1,16,4,1,1,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7.093167388055556
26,55,0,2,1,4,0,1,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,9.362002074444444
27,26,0,1,9,3,0,1,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10.977123430833334
28,37,0,2,5,1,1,1,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.604444444444445
29,44,1,1,1,2,1,2,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10.977585733611113
30,38,0,2,2,3,0,1,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.831275362222223
31,26,1,2,4,3,1,3,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10.109408263055554
32,28,0,2,7,3,1,1,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.709665977777778
33,49,0,1,1,1,0,2,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10.518214624722223
34,36,0,2,5,3,1,3,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6.182887516944445
35,31,0,1,9,4,1,1,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.586388888888889
36,26,1,2,8,3,1,2,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.272241379166667
37,37,0,1,9,1,1,1,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.982733011666665
38,42,0,1,2,2,1,3,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.979567632777778
39,18,1,2,1,4,1,1,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.775967939166667
40,35,0,2,20,2,1,1,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.690160390277778
41,36,0,1,8,3,0,3,69620,4.0,12,2,4.0,2,1,0,0,3.0,3.0,3.0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,7.204732468055556
42,51,0,2,2,3,1,2,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.594769503333334
43,41,0,2,29,1,1,1,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.952642332222222
44,18,0,2,7,3,1,1,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.008878472222222
45,28,0,2,9,3,1,1,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.201573315
46,31,0,2,8,1,1,1,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7.1728749999999994
47,39,0,2,5,4,0,2,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.6368014183333335
48,36,0,0,5,4,1,1,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.832781293888889
49,32,0,2,2,3,1,2,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.974765051388888
50,38,0,2,5,2,0,3,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.90642422
51,58,0,0,2,3,1,2,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10.895463728055555
52,31,0,2,20,1,0,3,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9.125665728888888
53,31,0,2,7,4,1,2,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.831459786111111
54,45,0,1,3,1,0,1,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.316049905833333
55,31,0,2,16,4,0,2,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.610798041666667
56,33,0,1,9,3,1,4,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.784845288055556
57,39,0,2,1,4,1,1,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10.986099773055555
58,43,0,1,7,4,1,4,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.686584679166667
59,49,0,2,1,3,1,3,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9.948856881388888
60,52,1,2,7,1,0,2,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.90552766138889
61,27,0,2,15,4,1,3,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10.672414617222223
62,32,0,2,1,3,1,3,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10.496171548055557
63,27,0,2,13,2,0,4,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.069261664166667
64,31,0,2,24,3,1,2,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.607014174444444
65,32,0,2,7,3,1,2,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7.497914908333334
66,28,1,2,9,4,1,1,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10.727235717222223
67,30,0,2,13,3,0,4,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.184816810277778
68,31,0,1,2,1,0,1,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.60930004888889
69,39,0,1,19,4,0,1,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.0762463449999995
70,39,1,2,1,1,0,1,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.971745708888887
71,33,0,1,4,2,1,4,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.42145202
72,47,0,2,4,3,0,2,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.49381001361111
73,43,0,1,14,3,0,5,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.299470449166666
74,27,0,0,2,3,1,1,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.316973304444444
75,54,0,1,1,4,1,2,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.097862787222223
76,43,0,2,7,2,0,2,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.217327264166667
77,45,0,2,3,1,0,1,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.100070018333334
78,40,0,2,2,4,1,4,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,9.91410774388889
79,29,1,2,29,3,0,1,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10.477788647222221
80,29,0,2,8,3,1,3,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.906938633055556
81,30,0,2,10,3,1,2,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.589092432777777
82,27,0,2,11,2,1,1,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.079724498888889
83,37,0,2,1,4,1,2,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.001112288055555
84,38,0,2,28,4,1,1,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.983123278055556
85,31,0,2,6,3,0,3,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.426184640277778
86,29,0,2,3,4,1,3,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.38752618388889
87,35,0,2,16,2,1,3,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7.912038626388889
88,23,0,2,20,4,1,1,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.105291842222222
89,41,0,2,9,2,0,1,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.68863319361111
90,47,0,1,1,3,0,2,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7.770347512777778
91,42,0,2,3,4,1,1,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.284280356111111
92,29,0,0,22,4,1,2,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.306108726666666
93,42,0,2,7,4,1,3,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.831585038888889
94,32,0,2,2,3,1,2,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.722377344722222
95,48,0,2,13,4,1,4,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.3174797327777785
96,37,0,2,8,5,1,2,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10.798262483055554
97,30,0,0,25,4,1,1,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10.401363945555556
98,26,0,2,28,3,0,5,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.994326703055556
99,42,0,2,2,2,0,1,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.113110181111111
100,21,1,1,9,3,0,4,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.13357809638889
101,36,0,0,28,3,1,2,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7.306164990277777
102,36,0,1,6,3,0,2,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.105030345277777
103,57,0,2,21,4,1,5,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.327729314166667
104,40,0,2,8,3,1,2,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,8.12851216
105,21,0,0,1,5,0,2,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.986432556944444
106,33,1,2,28,2,0,5,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.509096921388888
107,37,0,2,5,3,1,4,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.993284030555556
108,46,0,0,2,4,0,2,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.103653752222222
109,41,1,1,16,1,0,1,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.5879089175
110,50,0,2,9,3,0,3,98880,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.890321255833333
111,40,1,2,8,3,0,1,86280,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.295999525000001
112,31,0,2,1,3,1,4,28670,0.0,24,0,3.0,5,2,2,2,3.0,2.0,3.0,3,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10.806078364722222
113,21,1,2,10,2,1,1,53730,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.995219806666666
114,29,0,2,1,3,0,2,66670,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.788609977222222
115,35,0,2,29,3,0,3,50030,9.0,15,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.717707156111111
116,27,0,2,2,3,1,1,23670,0.0,12,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.1894503797222225
117,28,0,2,2,2,1,3,28580,1.0,12,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.1206142238888885
118,49,0,2,2,3,1,2,52040,8.0,14,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.825193286944445
119,51,0,2,1,2,1,1,41050,4.0,22,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.619401803055555
120,36,0,2,15,2,1,1,96790,4.0,12,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.002463200277778
121,34,1,0,7,3,1,1,56170,8.0,25,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9.113126477500002
122,55,0,2,26,3,1,1,104480,2.0,13,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8.684139595
123,24,0,2,1,3,0,5,28970,1.0,18,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9.9931316425
124,30,0,2,3,3,0,2,59680,1.0,13,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.900539922777778
125,26,1,1,14,3,1,2,75100,0.0,18,3,7.0,3,6,0,4,3.0,3.0,3.0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.999357638888889
